"id","data.list.id","title","created","iso3","url"
186,253607,"Indonesia: Toll in Java landslides, floods hits 101 with 54 people missing",2008-01-03,"idn","http://reliefweb.int/node/253607"
375,253692,"Irish Red Cross Co-ordinator calls for donations to help people of Kenya",2008-01-04,"ken","http://reliefweb.int/node/253692"
564,253912,"Kenyans forced to flee violence find ways to cope",2008-01-08,"ken","http://reliefweb.int/node/253912"
753,261210,"OPT: Report No. 56 - Implementation of the agreement on movement and access, 26 Dec 2007 - 08 Jan 2008",2008-01-08,"pse","http://reliefweb.int/node/261210"
942,254223,"Codex-Angola needs sanitary measures information system",2008-01-10,"ago","http://reliefweb.int/node/254223"
1131,254353,"Iraq: Authorities destroy Kerbala farms, displacing peasants",2008-01-13,"irq","http://reliefweb.int/node/254353"
1320,8780,"Kenya: Displacement and Humanitarian Response (as of 15 Jan 2008) - Situation Map",2008-01-15,"ken","http://reliefweb.int/node/8780"
1509,255322,"Tanzania: President Kikwete inaugurates UN-Habitat water project",2008-01-17,"tza","http://reliefweb.int/node/255322"
1698,254831,"Dozens of civilians killed in fighting in DR Congo: sources ",2008-01-19,"cod","http://reliefweb.int/node/254831"
1887,255063,"Haïti : Des jeunes formés sur la gestion des associations",2008-01-22,"hti","http://reliefweb.int/node/255063"
2076,255123,"Mozambique: Emergency situation report, 23 Jan 2008",2008-01-23,"moz","http://reliefweb.int/node/255123"
2265,255335,"Kenya's western farmers watch intruders harvest their crops",2008-01-25,"ken","http://reliefweb.int/node/255335"
2454,255562,"MAP International offers aid in wake of Kenya political conflict - 28 Jan 2008",2008-01-28,"ken","http://reliefweb.int/node/255562"
2643,255740,"OPT: Update on the Gaza crisis",2008-01-29,"pse","http://reliefweb.int/node/255740"
2832,258468,"UNICEF Kenya: Post-Election Violence Situation Report No. 22 - 30 Jan 2008",2008-01-30,"ken","http://reliefweb.int/node/258468"
3021,255871,"Oxfam's concerns on Afghanistan",2008-01-31,"afg","http://reliefweb.int/node/255871"
3210,255946,"Kenya: Insecurity leaves crops rotting",2008-02-01,"ken","http://reliefweb.int/node/255946"
3399,256181,"China's response to snow crisis: greater openness, support",2008-02-04,"chn","http://reliefweb.int/node/256181"
3588,256464,"US Peace Corps pulls its volunteers out of Kenya",2008-02-05,"ken","http://reliefweb.int/node/256464"
3777,11105,"Map of Uganda: Showing Areas of Humanitarian Operations (as of Feb 2008)",2008-02-05,"uga","http://reliefweb.int/node/11105"
3966,256651,"China: RCSC's donations reaches 60 million yuan",2008-02-07,"chn","http://reliefweb.int/node/256651"
4155,256755,"Emergency response to the crisis in Kenya: Revision of operations and needs",2008-02-08,"ken","http://reliefweb.int/node/256755"
4344,256963,"RD Congo : Visite d'Alan Doss à Bukavu et Goma",2008-02-11,"cod","http://reliefweb.int/node/256963"
4533,9063,"Tajikistan: Cold Wave (as of 12 Feb 2008)",2008-02-12,"tjk","http://reliefweb.int/node/9063"
4722,9060,"Southern Africa: Floods (as of 13 Feb 2008)",2008-02-13,"bwa","http://reliefweb.int/node/9060"
4911,257303,"Critical German donation to WFP emergency operation in Sri Lanka",2008-02-14,"lka","http://reliefweb.int/node/257303"
5100,20415,"Update 1: Trinidad Flood Waters, Beni Department, Bolivia (14 February 2008)",2008-02-16,"bol","http://reliefweb.int/node/20415"
5289,257705,"Sudan-Chad: Displaced people neglected along the border",2008-02-19,"tcd","http://reliefweb.int/node/257705"
5478,257878,"Liberia: Lassa fever prevention failing",2008-02-20,"lbr","http://reliefweb.int/node/257878"
5667,258115,"Timor-Leste remained peaceful, resilient in wake of violent attack on President, Prime Minister, UN SC told",2008-02-21,"tls","http://reliefweb.int/node/258115"
5856,258261,"Uganda rebels, government sign ""permanent"" ceasefire",2008-02-23,"uga","http://reliefweb.int/node/258261"
6045,258532,"Haïti : La Gonâve, l'île de tous les défis",2008-02-26,"hti","http://reliefweb.int/node/258532"
6234,258547,"Mexico: Floods Appeal No. MDRMX002 Operations Update No. 3",2008-02-27,"mex","http://reliefweb.int/node/258547"
6423,258716,"Somalia/Ethiopia: Feature - Desperate Africans seek unlikely refuge in Yemen",2008-02-28,"som","http://reliefweb.int/node/258716"
6612,11310,"UNHCR Afghanistan - Shelters Planned - 2002 - 2007 (as of Feb 08)",2008-02-29,"afg","http://reliefweb.int/node/11310"
6801,258900,"UNICEF statement on situation in Gaza",2008-03-01,"pse","http://reliefweb.int/node/258900"
6990,259125,"Oxfam helping 10,000 people affected by Ecuador floods",2008-03-03,"ecu","http://reliefweb.int/node/259125"
7179,259414,"Women's Commission hears introduction of texts on women and child hostages, HIV/AIDS, female genital mutilation, Palestinian women",2008-03-05,"pse","http://reliefweb.int/node/259414"
7368,259404,"Kenya's Kibaki pushes peace deal, honours dead",2008-03-06,"ken","http://reliefweb.int/node/259404"
7557,259675,"Britain pledges food aid to Afghanistan",2008-03-09,"afg","http://reliefweb.int/node/259675"
7746,259709,"In DR Congo, counselling and education heal the invisible wounds of war",2008-03-11,"cod","http://reliefweb.int/node/259709"
7935,259990,"Louis Michel condemns renewed violence in Darfur as number of internally displaced reaches two and a half million",2008-03-13,"sdn","http://reliefweb.int/node/259990"
8124,260382,"Humanitarian action in Southern Sudan weekly bulletin, week 10, 09 - 15 Mar 2008",2008-03-15,"sdn","http://reliefweb.int/node/260382"
8313,9362,"Eastern Chad: Registered Refugee Camps Populations (as of 31 Jan 2008)",2008-03-18,"tcd","http://reliefweb.int/node/9362"
8502,260609,"Colombia: OCHA Humanitarian Situation Report No. 8 - 19 Mar 2008",2008-03-19,"col","http://reliefweb.int/node/260609"
8691,260546,"Ghana-Liberia: Cessation clause invoked over refugee demos",2008-03-20,"gha","http://reliefweb.int/node/260546"
8880,260769,"Security is key for development in western Afghanistan",2008-03-25,"afg","http://reliefweb.int/node/260769"
9069,263142,"Getting out of the mud: How the ILO helps typhoon victims in the Philippines",2008-03-27,"phl","http://reliefweb.int/node/263142"
9258,263272,"Ecuador: Floods Situation Report No. 9",2008-03-29,"ecu","http://reliefweb.int/node/263272"
9447,11267,"UNHCR Afghanistan - Shelters Planned - 2002 - 2007 (as of end Mar 08)",2008-03-31,"afg","http://reliefweb.int/node/11267"
9636,261331,"Iraq: SRSG welcomes the calm in Basra and announces UN humanitarian efforts",2008-04-01,"irq","http://reliefweb.int/node/261331"
9825,261430,"Chechnya - The week in brief: 24 - 30 Mar 2008",2008-04-02,"rus","http://reliefweb.int/node/261430"
10014,261603,"Kenya: Government to spend Kshs. 31b to resettle IDP's",2008-04-04,"ken","http://reliefweb.int/node/261603"
10203,273410,"A day-long exchange of experiences and lessons learned among implementing partners in Burundi",2008-04-08,"bdi","http://reliefweb.int/node/273410"
10392,262086,"Nepal: Violence threatens elections",2008-04-09,"npl","http://reliefweb.int/node/262086"
10581,9502,"Somalia: Rainfall Forecast - 3 day accumulated precipitation forecast (10 Apr - 12 Apr 2008)",2008-04-11,"som","http://reliefweb.int/node/9502"
10770,262449,"Egypt re-opens Gaza crossing border to hospitalize Palestinians",2008-04-14,"egy","http://reliefweb.int/node/262449"
10959,262637,"Colombia: Comunicado de ingeominas sobre actividad en Volcán Nevado del Huila",2008-04-15,"col","http://reliefweb.int/node/262637"
11148,263251,"Pakistan: Weekly Morbidity and Mortality Report No. 13, 17 Apr 2008",2008-04-17,"pak","http://reliefweb.int/node/263251"
