"id","data.list.id","title","created","url","country"
46,295947,"Kenya: Australia offers two million dollars - humanitarian assistance",2009-01-01,"http://reliefweb.int/node/295947","All"
266,292305,"OPT: International Medical Corps prepares response to crisis in Gaza",2009-01-04,"http://reliefweb.int/node/292305","All"
486,292869,"Côte d'Ivoire : Le chef de l'Assistance Electorale de l'ONUCI visite des sites d'identification à Odienné",2009-01-06,"http://reliefweb.int/node/292869","All"
706,292712,"Sri Lanka reinstitutes ban on Tamil Tigers - govt",2009-01-07,"http://reliefweb.int/node/292712","All"
926,292936,"Thailand: DDPM - 3 southern provinces still flooded",2009-01-08,"http://reliefweb.int/node/292936","All"
1146,293091,"OPT: Morocco to dispatch humanitarian aid to Palestinian people in Gaza",2009-01-09,"http://reliefweb.int/node/293091","All"
1366,293227,"Drought brings hunger to Kenya",2009-01-12,"http://reliefweb.int/node/293227","All"
1586,293124,"CWS Hotline - 12 Jan 2009 : OPT, Myanmar, Sudan",2009-01-12,"http://reliefweb.int/node/293124","All"
1806,293634,"Paraguay: Alerta Dengue - Confirman un nuevo caso de dengue en Pedro Juan Caballero",2009-01-14,"http://reliefweb.int/node/293634","All"
2026,293709,"OPT: Israel intercepts aid boat, turn back to Cyprus ",2009-01-15,"http://reliefweb.int/node/293709","All"
2246,294480,"Fundación Western Union dona US$ 50,000 para esfuerzos de asistencia tras terremoto en Alajuela, Costa Rica",2009-01-16,"http://reliefweb.int/node/294480","All"
2466,294159,"OPT: Logistics Cluster Gaza crisis consolidated situation report, 17 Jan 2009",2009-01-17,"http://reliefweb.int/node/294159","All"
2686,294285,"Viet Nam: Flood-hit locals supported",2009-01-19,"http://reliefweb.int/node/294285","All"
2906,294720,"Les élections présidentielles en Côte d'Ivoire n'auront lieu que lorsque les processus d'identification et de désarmement seront achevés, déclare le chef de l'ONUCI au Conseil",2009-01-21,"http://reliefweb.int/node/294720","All"
3126,294742,"Sierra Leone: Emergency wheelbarrows replace missing doctors",2009-01-22,"http://reliefweb.int/node/294742","All"
3346,294948,"OPT/Egypt: Gaza Humanitarian Crisis DREF Operation No. MDREG008 Update No. 1",2009-01-23,"http://reliefweb.int/node/294948","All"
3566,295087,"OPT: Gaza returning to 'normality' in the face of destruction and anxiety",2009-01-26,"http://reliefweb.int/node/295087","All"
3786,12051,"World: Areas with confirmed human cases of H5N1 avian influenza since 2003 (as of 27 Jan 2009)",2009-01-27,"http://reliefweb.int/node/12051","All"
4006,295553,"OPT: Field Update on Gaza from the Humanitarian Coordinator 27 - 29 Jan 2009 as of 17:00",2009-01-29,"http://reliefweb.int/node/295553","All"
4226,295811,"Rwandan refugee qualifies as a doctor thanks to DAFI programme",2009-01-30,"http://reliefweb.int/node/295811","All"
4446,295962,"Ecuador: Informe de situación No. 01 - Inundaciones Provincia del Guayas, informe Salitre",2009-01-31,"http://reliefweb.int/node/295962","All"
4666,296017,"Somalia: Hope for displaced if new president can boost security",2009-02-02,"http://reliefweb.int/node/296017","All"
4886,296091,"Sri Lanka: Independence depends on the recovery of the authority of public institutions",2009-02-03,"http://reliefweb.int/node/296091","All"
5106,296520,"Declaration by the Presidency on behalf of the European Union on Russian plans to build up its military presence in Abkhazia and South Ossetia",2009-02-05,"http://reliefweb.int/node/296520","All"
5326,296566,"Somalia: Uganda rejects massacre charge against peacekeepers",2009-02-06,"http://reliefweb.int/node/296566","All"
5546,296793,"OPT: Israel opens crossings into Gaza",2009-02-08,"http://reliefweb.int/node/296793","All"
5766,297097,"UN humanitarian chief urges greater attention to protection of civilians in DRC",2009-02-10,"http://reliefweb.int/node/297097","All"
5986,297266,"WFP hunger hotspots: Zimbabwe - 11 Feb 2009",2009-02-11,"http://reliefweb.int/node/297266","All"
6206,297475,"OPT: Egypt seizes Gaza aid, arrests Islamists",2009-02-12,"http://reliefweb.int/node/297475","All"
6426,297623,"Madagascar again engulfed by political violence",2009-02-13,"http://reliefweb.int/node/297623","All"
6646,298040,"Emergencia y desastres en Bolivia: Reporte de situación no. 08/09",2009-02-16,"http://reliefweb.int/node/298040","All"
6866,298783,"Zimbabwe WASH Cluster Cholera Emergency Sitrep - 17 Feb 2009",2009-02-17,"http://reliefweb.int/node/298783","All"
7086,298348,"EurAc craint que l'Opération Conjointe n'apporte pas de solution durable aux conflits à l'est du Congo",2009-02-19,"http://reliefweb.int/node/298348","All"
7306,298524,"Sri Lanka: Tamil Nadu - Tensions grow among Tamil",2009-02-20,"http://reliefweb.int/node/298524","All"
7526,298627,"Sudan: Two members of Aide Médicale Internationale killed in coach attack",2009-02-23,"http://reliefweb.int/node/298627","All"
7746,298908,"Sudan: Gaddafi says Israel, not Bashir, behind Darfur war",2009-02-24,"http://reliefweb.int/node/298908","All"
