"id","data.list.id","title","created","url"
17,547227,"Region sends troops to rescue Central African regime",2013-01-01,"http://reliefweb.int/node/547227"
212,547512,"Burundi Education Sector Reconstruction Project: Implementation Completion and Results Report",2013-01-03,"http://reliefweb.int/node/547512"
237,547552,"UNRWA Syria crisis situation update Issue 29, 02 January 2013",2013-01-03,"http://reliefweb.int/node/547552"
432,547692,"Yellow fever vaccination campaign launched in Umm Dukhum",2013-01-04,"http://reliefweb.int/node/547692"
457,547981,"Les rebelles prennent deux nouvelles villes avant les négociations",2013-01-05,"http://reliefweb.int/node/547981"
652,548311,"Tropical Cyclone Freda SI NDMO/NEOC Situation Report Number 07",2013-01-08,"http://reliefweb.int/node/548311"
677,548316,"Décision d’exécution de la Commission du 4.1.2013 relative au financement des priorités opérationnelles de l’aide humanitaire sur le budget 
général 2013 de l’union européenne 
(echo/wwd/bud/2013/01000)",2013-01-08,"http://reliefweb.int/node/548316"
872,548688,"Pluies et neige continuent de s'abattre sur le Proche-Orient, nouveaux morts",2013-01-09,"http://reliefweb.int/node/548688"
897,548703,"Situation humanitaire en République Démocratique du Congo -  Note d’information à la presse, 9 janvier 2013",2013-01-09,"http://reliefweb.int/node/548703"
1092,549276,"Haiti earthquake third anniversary: British Red Cross community-led project rebuilds neighbourhood from the rubble",2013-01-11,"http://reliefweb.int/node/549276"
1117,549280,"Red Cross gives £285,000 to help Philippines after Typhoon Bopha",2013-01-11,"http://reliefweb.int/node/549280"
1312,549486,"French air power stops Mali Islamist advance",2013-01-12,"http://reliefweb.int/node/549486"
1337,549573,"SPLA soldiers and civilians clashes in Lake State killing ten",2013-01-14,"http://reliefweb.int/node/549573"
1532,549827,"Syrian refugees share their stories with UNICEF Goodwill Ambassador Mia Farrow during her visit to Lebanon",2013-01-15,"http://reliefweb.int/node/549827"
1557,549817,"Cell Phones for Farmers to Cut Corruption, Deliver Services",2013-01-15,"http://reliefweb.int/node/549817"
1752,550289,"Les islamistes armés utilisent enfants soldats et boucliers humains (militaire)",2013-01-16,"http://reliefweb.int/node/550289"
1777,550511,"Joint Statement: Syria Refugee Crisis – EU should do more",2013-01-17,"http://reliefweb.int/node/550511"
1972,550890,"UNRWA Syria midwife delivers baby in harsh conditions",2013-01-18,"http://reliefweb.int/node/550890"
2192,551307,"UNAMA-funded television series premiered in Kabul",2013-01-21,"http://reliefweb.int/node/551307"
2412,551571,"Guatemala Price Bulletin - January 2013",2013-01-22,"http://reliefweb.int/node/551571"
2632,551930,"Development and Peace responds to humanitarian needs created by Syrian crisis",2013-01-24,"http://reliefweb.int/node/551930"
2852,552422,"Nourishing Bodies, Nourishing Minds",2013-01-25,"http://reliefweb.int/node/552422"
3072,552659,"USD 20 Million New Japanese Funding For Livelihoods Generation in Rural Afghanistan",2013-01-28,"http://reliefweb.int/node/552659"
3292,552855,"Replantean acciones contra la desnutrición en San Juan Atitán",2013-01-29,"http://reliefweb.int/node/552855"
3512,555723,"Water Development in Ethiopia’s Pastoral Areas: A synthesis of existing knowledge and experience",2013-01-30,"http://reliefweb.int/node/555723"
3732,554030,"Lebanon: UN Inter-Agency Response for Syrian Refugees, January 2013",2013-02-01,"http://reliefweb.int/node/554030"
3952,554160,"At Laiza Schools, a Longing for Normalcy",2013-02-04,"http://reliefweb.int/node/554160"
4172,554607,"Mauritanie: des réfugiés maliens protestent contre leur traitement",2013-02-05,"http://reliefweb.int/node/554607"
4392,554991,"Voices of Darfur - January 2013",2013-02-07,"http://reliefweb.int/node/554991"
4612,555466,"Tchad : Revue de Presse Humanitaire, du 1 au 7 février 2013",2013-02-08,"http://reliefweb.int/node/555466"
4832,555845,"New Arrivals Report: Beka’a (September-December 2012)",2013-02-11,"http://reliefweb.int/node/555845"
5052,556259,"GIEWS Country Brief: Somalia 11-February-2013",2013-02-13,"http://reliefweb.int/node/556259"
5272,556659,"MSF treating Wounded Civilians in South Sudan's Jonglei State",2013-02-14,"http://reliefweb.int/node/556659"
5492,556960,"Thousands flee army harassment in eastern DRC",2013-02-15,"http://reliefweb.int/node/556960"
5712,557658,"Five more killed in Karachi violence",2013-02-19,"http://reliefweb.int/node/557658"
5932,558006,"Mali: Population Movements South - North Flows (Returns) 12 January – 10 February 2013 (EN/FR)",2013-02-20,"http://reliefweb.int/node/558006"
6152,558382,"Tuaregs and Arabs not ready to return to Mali",2013-02-22,"http://reliefweb.int/node/558382"
6372,558772,"ICRC workshop in Sa’ada promotes safe access to health care",2013-02-25,"http://reliefweb.int/node/558772"
6592,558926,"Ministers Baird and Ablonczy Visit Haiti",2013-02-26,"http://reliefweb.int/node/558926"
6812,559508,"Floods submerge 5 villages in N. Gorontalo",2013-02-28,"http://reliefweb.int/node/559508"
7032,560013,"Death toll in Bangladesh war crimes clashes rises to 53",2013-03-01,"http://reliefweb.int/node/560013"
7252,560256,"Asia-Pacific region 27 Feb - 4 Mar, 2013 - Natural disasters and other events being monitored by the OCHA Regional Office for the Asia-Pacific",2013-03-04,"http://reliefweb.int/node/560256"
7472,560686,"Under-Secretary-General for Humanitarian Affairs and Emergency Relief Coordinator, Valerie Amos - Press statement following the Global Humanitarian Action in 2013 event",2013-03-05,"http://reliefweb.int/node/560686"
7692,561062,"Mother Dreams Of More Cash Cows",2013-03-07,"http://reliefweb.int/node/561062"
7912,561403,"Unsolved murder highlights plight of Afghan women",2013-03-08,"http://reliefweb.int/node/561403"
8132,561712,"Nord-Kivu : 15 000 déplacés vivent difficilement à Mayi Moya, selon la société civile",2013-03-11,"http://reliefweb.int/node/561712"
8352,562517,"MSF quitte le Maroc, dénonçant des ""violences"" contre les migrants",2013-03-13,"http://reliefweb.int/node/562517"
8572,562747,"ONU subraya aumento de pérdidas económicas a causa de desastres naturales",2013-03-14,"http://reliefweb.int/node/562747"
8792,563037,"Insecurity, funding shortages to hit Afghanistan’s charities post-2014 – ICRC",2013-03-15,"http://reliefweb.int/node/563037"
9012,563211,"L'UIT appuie l'OMS et le HCR au Mali",2013-03-18,"http://reliefweb.int/node/563211"
9232,564014,"Le PNPMS et la promotion des mutuelles de santé en RD Congo",2013-03-20,"http://reliefweb.int/node/564014"
9452,564421,"VIDECI Reporte Sinager No. 50",2013-03-21,"http://reliefweb.int/node/564421"
9672,564676,"Water Scarcity in Bangladesh: Transboundary Rivers, Conflict and Cooperation",2013-03-22,"http://reliefweb.int/node/564676"
9892,564879,"Over 30 mln. Birr worth safe water project under construction",2013-03-25,"http://reliefweb.int/node/564879"
10112,565639,"Situation humanitaire en République Démocratique du Congo : Note d’information à la presse, 27 mars 2013",2013-03-27,"http://reliefweb.int/node/565639"
10332,565967,"Humanitarianism in the Network Age (including World Humanitarian Data and Trends 2012)",2013-03-28,"http://reliefweb.int/node/565967"
10552,567122,"Cred Crunch Newsletter, Issue 31, March 2013 - Natural disasters in 2012",2013-03-31,"http://reliefweb.int/node/567122"
10772,566504,"Funding Shortfall Curtails IOM Assistance to Stranded Migrants in Yemen",2013-04-02,"http://reliefweb.int/node/566504"
10992,566965,"Traité sur le commerce des armes : un pas historique vers une réduction des souffrances humaines",2013-04-04,"http://reliefweb.int/node/566965"
11212,567535,"Canada responds to flooding in Namibia",2013-04-05,"http://reliefweb.int/node/567535"
11432,567899,"Fighting Childhood Malaria in Burundi House to House, Community by Community",2013-04-08,"http://reliefweb.int/node/567899"
11652,568366,"SPLM-N: 16 bombs kill 5 civilians in Blue Nile, Sudan",2013-04-10,"http://reliefweb.int/node/568366"
11872,568693,"Israeli army shoots 'physically disabled' Palestinian",2013-04-11,"http://reliefweb.int/node/568693"
12092,569233,"Lancement du plan cadre des Nations Unies pour l’assistance au développement de la République démocratique du Congo",2013-04-15,"http://reliefweb.int/node/569233"
12312,569439,"Early maturing maize lines at IITA hold drought tolerance that could save farmers in Africa",2013-04-16,"http://reliefweb.int/node/569439"
12532,569947,"Assisting Syrian refugees in Zaatari refugee camp",2013-04-17,"http://reliefweb.int/node/569947"
12752,570489,"Les candidats aux élections locales à Toulepleu, Taï, Zagne, Tieme, Seguelon, Mafere, Koun Fao, Transua et Assueffry s’engagent à favoriser un environnement électoral apaisé",2013-04-19,"http://reliefweb.int/node/570489"
12972,570737,"Ramos-Horta notes strong determination in Guinea-Bissau to produce political roadmap",2013-04-22,"http://reliefweb.int/node/570737"
13192,571087,"Education takes a hit in Myanmar's Kachin State",2013-04-23,"http://reliefweb.int/node/571087"
13412,571551,"Angola : l'ONU veut une enquête sur les violences contre les migrants à la frontière avec la RDC",2013-04-24,"http://reliefweb.int/node/571551"
13632,571916,"Asesinato rompe equilibrio de resguardo indígena",2013-04-26,"http://reliefweb.int/node/571916"
13852,572507,"République centrafricaine : Revue de Presse Hebdomadaire du 22 au 29 avril 2013",2013-04-29,"http://reliefweb.int/node/572507"
14072,572650,"28,8 millones de desplazados internos en el mundo en 2012. Cifra récord que incluye un aumento de cinco veces en Siria",2013-04-30,"http://reliefweb.int/node/572650"
14292,573156,"UNDP Provides Grants to Iraqi Civil Society Organisations",2013-05-01,"http://reliefweb.int/node/573156"
14512,573502,"Somalia Rain Watch - May 2, 2013",2013-05-03,"http://reliefweb.int/node/573502"
14732,574081,"Helping to diversify diets through food vouchers in Lebanon",2013-05-06,"http://reliefweb.int/node/574081"
14952,574177,"25 Saudis killed in heavy rain, floods",2013-05-07,"http://reliefweb.int/node/574177"
15172,576044,"Informe mensual de precios de los alimentos en América Latina y el Caribe - Abril 2013",2013-05-09,"http://reliefweb.int/node/576044"
15392,575176,"Pakistan: FATA - Projected Returns and Expected Caseload of Displacements from January - December 2013 based on UNHCR IDP statistics as of 31 December 2012",2013-05-10,"http://reliefweb.int/node/575176"
15612,575719,"Se eleva la alerta volcánica a amarillo fase 3",2013-05-13,"http://reliefweb.int/node/575719"
